Repository,AppCode,Capability,Repo Type,Verification Status,Timestamp Verification,Total Commits,Total Merged PRs,Distinct Committers Count,Distinct PR Authors Count,Last Commit Date,Last PR Date,Last Workflow Date,Avg Branch Duration (Hours),Avg Coding Time (Hours),Avg Review Time (Hours),Avg LOC Changed,Avg Review Time / LOC,MTTR-Sec (Hours),Successful Deployments,Avg Review Comments per PR,Avg Wait Time for First Review (Hours),Avg PR Description Length (Chars),Small to Large PR Ratio,Change Failure Rate (%),True Lead Time for Changes (Hours),Lead Time to Production (Days),CI/CD Failure Rate (%),CI/CD Avg Execution Time (Mins),Avg Code Churn (Commits),Test Code Ratio (%),Coding Velocity (LOC/Hr),SQ Security Rating,SQ Technical Debt (Days),SQ Code Smells,SQ Vulnerabilities,SQ Unit Tests,CT.yml Exists,CT.yml Has Runs,CT.yml Last Run,Environment,Timestamp
Repo-Gamma-01,Unknown,Cap-Ingestion,Infrastructure,OK,New Repos,107,5,7,1,2026-02-24T00:45:27.502Z,2026-02-24T00:45:27.502Z,2026-02-24T00:45:27.502Z,0.14,0.00,0.14,78.1,0.0018,25.82,18,2.49,8.39,417,1.91,3.53,0.21,46.68,5.57,4.47,1.33,41.85,150.22,A,37.9,194,0,231,No,No,N/A,Production,2026-02-24 00:45:27
Repo-Gamma-02,Unknown,Cap-Ingestion,Application,OK,New Repos,8,2,5,2,2026-02-24T00:45:27.502Z,2026-02-24T00:45:27.502Z,2026-02-24T00:45:27.502Z,10.50,0.00,10.50,300.8,0.0349,27.06,16,2.00,5.79,298,2.42,0.46,15.75,47.59,1.01,2.25,0.22,42.66,153.16,C,10.8,185,3,267,No,No,N/A,Production,2026-02-24 00:45:27
Repo-Delta-01,Unknown,Cap-Reporting,Infrastructure,OK,Match,82,5,9,1,2026-02-24T00:45:27.502Z,2026-02-24T00:45:27.502Z,2026-02-24T00:45:27.502Z,0.24,0.00,0.24,9.2,0.0259,5.27,10,1.48,0.97,68,1.62,0.38,0.36,35.85,4.51,8.72,0.34,32.14,115.39,B,6.1,198,4,347,No,No,N/A,Production,2026-02-24 00:45:27
Repo-Alpha-05,Unknown,Cap-Core,Infrastructure,OK,Match,1,0,13,2,2026-02-24T00:45:27.502Z,,2026-02-24T00:45:27.502Z,0.57,0.00,0.57,293.4,0.0020,15.62,5,3.22,9.19,412,1.54,0.60,0,0,7.93,5.47,1.67,0,0,B,13.6,101,2,393,No,No,N/A,Production,2026-02-24 00:45:27
Repo-Alpha-06,Unknown,Cap-Core,Infrastructure,OK,Match,1,0,18,2,2026-02-24T00:45:27.502Z,,2026-02-24T00:45:27.502Z,0.27,0.00,0.27,16.1,0.0170,7.30,8,2.37,6.78,161,1.83,2.67,0,0,7.75,10.88,1.83,0,0,B,35.6,97,4,339,No,No,N/A,Production,2026-02-24 00:45:27
Repo-Alpha-01,Unknown,Cap-Core,Application,OK,New Repos,86,5,9,1,2026-02-25T00:45:27.502Z,2026-02-25T00:45:27.502Z,2026-02-25T00:45:27.502Z,3.18,0.00,3.18,155.1,0.0205,47.08,6,1.65,5.82,266,3.14,0.29,4.77,46.95,11.43,12.75,0.49,52.33,186.88,B,5.9,92,3,457,No,No,N/A,Production,2026-02-25 00:45:27
Repo-Alpha-02,Unknown,Cap-Core,Infrastructure,OK,New Repos,86,5,9,2,2026-02-25T00:45:27.502Z,2026-02-25T00:45:27.502Z,2026-02-25T00:45:27.502Z,0.58,0.00,0.58,297.9,0.0020,19.67,8,4.10,1.40,295,1.25,2.08,0.87,34.45,3.33,2.43,0.52,38.39,137.11,A,31.3,44,0,217,No,No,N/A,Production,2026-02-25 00:45:27
Repo-Alpha-03,Unknown,Cap-Core,Infrastructure,OK,New Repos,118,5,10,2,2026-02-25T00:45:27.502Z,2026-02-25T00:45:27.502Z,2026-02-25T00:45:27.502Z,0.38,0.00,0.38,22.2,0.0170,40.13,8,3.38,6.70,205,2.26,1.63,0.57,47.58,4.86,3.44,0.28,53.02,189.36,B,13.6,90,5,201,No,No,N/A,Production,2026-02-25 00:45:27
Repo-Alpha-04,Unknown,Cap-Core,Application,OK,New Repos,4,0,2,0,2026-02-25T00:45:27.502Z,,2026-02-25T00:45:27.502Z,0.00,0.00,0.00,0.0,0.0000,7.92,6,0,0,0,0,3.04,0,0,8.49,7.34,0,0,0,A,35.1,175,0,279,No,No,N/A,Production,2026-02-25 00:45:27
Repo-Beta-01,Unknown,Cap-Storage,Infrastructure,OK,New Repos,99,5,12,3,2026-02-25T00:45:27.502Z,2026-02-25T00:45:27.502Z,2026-02-25T00:45:27.502Z,1.92,0.00,1.92,64.3,0.0299,38.25,16,2.03,11.70,121,1.89,0.42,2.88,39.99,4.80,11.76,0.87,44.57,159.17,C,15.6,126,5,234,No,No,N/A,Production,2026-02-25 00:45:27
Repo-Beta-02,Unknown,Cap-Storage,Unknown,OK,New Repos,0,0,0,0,,,2026-02-25T00:45:27.502Z,0.00,0.00,0.00,0.0,0.0000,0,0,0,0,0,0,0,0,0,5.66,11.36,0,0,0,B,8.5,7,4,490,No,No,N/A,Production,2026-02-25 00:45:27
Repo-Beta-03,Unknown,Cap-Storage,Infrastructure,OK,New Repos,113,5,4,2,2026-02-25T00:45:27.502Z,2026-02-25T00:45:27.502Z,2026-02-25T00:45:27.502Z,14.22,0.00,14.22,12.8,1.1079,49.49,21,1.88,2.78,426,2.74,1.06,21.33,45.27,3.87,2.89,2.76,50.45,180.16,B,15.7,180,2,445,No,No,N/A,Production,2026-02-25 00:45:27
Repo-Gamma-01,Unknown,Cap-Ingestion,Infrastructure,OK,New Repos,103,5,7,1,2026-02-25T00:45:27.502Z,2026-02-25T00:45:27.502Z,2026-02-25T00:45:27.502Z,0.13,0.00,0.13,75.2,0.0018,43.90,12,4.59,7.86,148,2.47,0.02,0.20,41.52,3.08,12.97,0.31,46.27,165.25,B,0.9,184,4,214,No,No,N/A,Production,2026-02-25 00:45:27
Repo-Gamma-02,Unknown,Cap-Ingestion,Application,OK,New Repos,6,2,5,2,2026-02-25T00:45:27.502Z,2026-02-25T00:45:27.502Z,2026-02-25T00:45:27.502Z,8.20,0.00,8.20,234.9,0.0349,24.60,8,1.03,2.14,349,0.96,3.61,12.30,34.34,7.64,8.71,1.72,38.27,136.67,B,26.2,35,1,76,No,No,N/A,Production,2026-02-25 00:45:27
Repo-Delta-01,Unknown,Cap-Reporting,Infrastructure,OK,Match,98,5,9,1,2026-02-25T00:45:27.502Z,2026-02-25T00:45:27.502Z,2026-02-25T00:45:27.502Z,0.28,0.00,0.28,11.0,0.0259,21.44,8,1.72,8.10,428,1.79,1.18,0.43,39.47,3.96,1.51,1.10,43.99,157.10,A,29.2,155,0,475,No,No,N/A,Production,2026-02-25 00:45:27
Repo-Alpha-05,Unknown,Cap-Core,Infrastructure,OK,Match,1,0,13,2,2026-02-25T00:45:27.502Z,,2026-02-25T00:45:27.502Z,0.68,0.00,0.68,347.1,0.0020,27.12,9,2.12,3.15,282,2.92,4.01,0,0,7.18,8.74,1.51,0,0,B,34.2,120,1,163,No,No,N/A,Production,2026-02-25 00:45:27
Repo-Alpha-06,Unknown,Cap-Core,Infrastructure,OK,Match,1,0,18,2,2026-02-25T00:45:27.502Z,,2026-02-25T00:45:27.502Z,0.26,0.00,0.26,15.3,0.0170,2.18,16,0.89,3.98,155,1.14,3.59,0,0,5.91,10.02,0.86,0,0,B,8.7,117,3,101,No,No,N/A,Production,2026-02-25 00:45:27
